Time[sec]	 X[micron]	 Y[micron]
   0.000	   83.3115	   70.9706
   0.002	   83.2872	   70.9689
   0.004	   83.2900	   70.9847
   0.006	   83.3056	   71.0200
   0.008	   83.3020	   71.0244
   0.010	   83.2919	   71.0084
   0.012	   83.3177	   71.0224
   0.014	   83.3189	   70.9892
   0.016	   83.2965	   70.9799
   0.018	   83.2750	   71.0076
   0.020	   83.2807	   71.0064
   0.022	   83.2821	   71.0133
   0.024	   83.2917	   71.0258
   0.026	   83.2888	   71.0356
   0.028	   83.2872	   71.0310
   0.030	   83.3052	   71.0101
   0.032	   83.2877	   70.9918
   0.034	   83.2654	   70.9933
   0.036	   83.2681	   70.9836
   0.038	   83.2573	   71.0103
   0.040	   83.2517	   71.0138
   0.042	   83.2497	   71.0183
   0.044	   83.2481	   71.0109
   0.046	   83.2694	   71.0128
   0.048	   83.2801	   71.0223
   0.050	   83.2700	   70.9866
   0.052	   83.2573	   70.9763
   0.054	   83.2177	   70.9741
   0.056	   83.2239	   70.9799
   0.058	   83.2278	   71.0103
   0.060	   83.2340	   71.0472
   0.062	   83.2242	   71.0209
   0.064	   83.2398	   71.0336
   0.066	   83.2572	   71.0045
   0.068	   83.2309	   71.0054
   0.070	   83.2287	   70.9723
   0.072	   83.2046	   70.9641
   0.074	   83.1994	   70.9618
   0.076	   83.2021	   70.9701
   0.078	   83.2119	   71.0049
   0.080	   83.1932	   70.9971
   0.082	   83.2075	   70.9898
   0.084	   83.2097	   71.0079
   0.086	   83.1957	   70.9659
   0.088	   83.1809	   70.9481
   0.090	   83.1751	   70.9691
   0.092	   83.1607	   70.9615
   0.094	   83.1706	   71.0020
   0.096	   83.1792	   71.0161
   0.098	   83.1597	   70.9935
   0.100	   83.1762	   70.9984
   0.102	   83.2055	   70.9808
   0.104	   83.1692	   70.9840
   0.106	   83.1808	   70.9699
   0.108	   83.1291	   70.9833
   0.110	   83.1546	   70.9770
   0.112	   83.1252	   70.9752
   0.114	   83.1573	   71.0105
   0.116	   83.1628	   71.0016
   0.118	   83.1644	   71.0029
   0.120	   83.1619	   70.9950
   0.122	   83.1716	   70.9629
   0.124	   83.1203	   70.9836
   0.126	   83.1013	   70.9862
   0.128	   83.1012	   70.9887
   0.130	   83.1232	   71.0110
   0.132	   83.1121	   71.0217
   0.134	   83.1594	   71.0228
   0.136	   83.1181	   70.9880
   0.138	   83.1475	   70.9903
   0.140	   83.0967	   70.9963
   0.142	   83.1265	   70.9990
   0.144	   83.0725	   71.0043
   0.146	   83.1168	   71.0128
   0.148	   83.0946	   71.0064
   0.150	   83.0983	   71.0170
   0.152	   83.1139	   71.0441
   0.154	   83.1173	   70.9759
   0.156	   83.0878	   70.9630
   0.158	   83.0835	   70.9683
   0.160	   83.0686	   70.9718
   0.162	   83.0509	   70.9891
   0.164	   83.0826	   70.9900
   0.166	   83.0842	   71.0449
   0.168	   83.0778	   71.0073
